filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Class
Dr. N. Ramani - Chandrasekara.wav1.wav,0.155039638,0.175896376,993.2258611,1123.827658,1494.315964,0.048518603,-288.290644,127.7433071,-40.06087826,-19.9684674,-19.12193509,-14.64441682,-10.40662309,-13.79360364,-17.43155543,-20.16441685,-12.80099388,-9.392705647,-4.750105954,-1.533158364,1.763022443,1.048932668,-1.618776164,-5.656131002,-6.002428269,4.700715453,Flute
Dr. N. Ramani - Chandrasekara.wav10.wav,0.161078003,0.208156779,1265.327266,1358.173107,2099.045641,0.055313347,-200.1487182,127.4270708,-52.65451222,-2.954277942,-12.88325293,-6.563290102,-12.04201397,-13.63316604,-19.55287605,-10.57289366,-4.887953512,-2.783050157,1.64442238,9.217645752,9.587836801,14.22440989,7.530996219,-1.025781249,-8.993107784,-8.010076521,Flute
Dr. N. Ramani - Chandrasekara.wav11.wav,0.162505875,0.205623522,1171.068546,1274.666548,1899.313515,0.052255164,-206.0705726,135.9835201,-52.00957737,-0.347392322,-13.15976135,-3.61741987,-8.770138536,-17.22906056,-23.82792927,-13.84534265,-8.69655146,-8.187465172,0.273006579,13.07931002,13.43324855,16.79850935,8.941654672,-3.240079702,-10.77368865,-10.37358823,Flute
Dr. N. Ramani - Chandrasekara.wav12.wav,0.183201174,0.151129171,1171.086741,1361.569187,1953.221522,0.04809268,-218.4576247,141.7385845,-41.6670742,-0.062214328,-7.758951944,1.207836105,-6.419464486,-12.31142587,-20.26596422,-15.65900977,-9.252395155,-7.249574621,-4.667528234,-0.565588048,-3.382135212,1.616543197,2.800255064,2.009557111,-1.082389273,2.595185534,Flute
Dr. N. Ramani - Chandrasekara.wav2.wav,0.155842775,0.153802812,1100.972052,1199.640924,1718.897939,0.049539761,-266.3173979,129.713636,-47.32527243,-17.46316705,-24.05241082,-15.8936336,-16.16742646,-18.23359926,-18.19688087,-18.46745147,-7.75545199,-4.635895673,-3.639112404,-3.523128289,-1.297981332,0.487931512,0.994756358,1.444911921,-3.761428871,2.086876603,Flute
Dr. N. Ramani - Chandrasekara.wav3.wav,0.165006562,0.154205233,1407.702647,1365.146525,2193.886734,0.074424342,-239.8353319,108.422665,-62.83746102,-26.06874013,-37.90546508,-19.42496228,-15.6795967,-4.869207361,-1.022614827,2.996001466,6.355134193,-1.484260449,-9.821188876,-10.57787643,-5.655284058,-1.158332168,-0.645257414,-0.132644733,-6.558179553,1.591104471,Flute
Dr. N. Ramani - Chandrasekara.wav4.wav,0.16392301,0.160554886,1120.641621,1179.774736,1723.74791,0.057138732,-267.3789545,123.1130733,-45.44977856,-22.94314074,-23.40367504,-13.10813991,-10.44885805,-15.52142752,-17.72836663,-14.93120626,-7.41899533,-3.457016732,-6.132851078,-6.865050098,-4.457029049,-2.224458214,0.513730772,1.652264127,0.206301402,2.423069071,Flute
Dr. N. Ramani - Chandrasekara.wav5.wav,0.171021135,0.162676111,1060.740029,1210.655769,1681.139834,0.047849295,-261.5596663,133.8645332,-40.4675807,-12.2461824,-13.59215362,-7.779715058,-7.939568294,-15.62746223,-18.28266253,-19.97349067,-12.46081244,-9.568745919,-6.648004675,0.373526421,2.473232935,5.12444972,7.030108479,-0.126259037,-5.317066155,2.058187438,Flute
Dr. N. Ramani - Chandrasekara.wav6.wav,0.169645151,0.168213174,1154.879663,1350.570612,1969.979754,0.044402226,-219.0240252,137.9823274,-43.10892357,-2.822344756,-9.040621645,-1.469893152,-7.485705094,-16.54567794,-20.469032,-15.8232849,-7.678028905,-7.856328446,-7.44211678,-1.033209364,-2.421255902,1.497606319,2.777855334,1.334165879,1.447633866,7.429678914,Flute
Dr. N. Ramani - Chandrasekara.wav7.wav,0.165497877,0.186047748,1073.940725,1229.107319,1750.256083,0.047581723,-241.0588231,138.0686273,-44.89809661,-5.291273628,-7.841177175,-0.330826441,-5.363872067,-17.91831337,-22.75967505,-18.23675972,-9.973392168,-7.918134868,-6.875639842,-3.052585141,-1.38686403,4.015341411,6.389076875,7.726579543,6.477909526,6.282067929,Flute
Dr. N. Ramani - Chandrasekara.wav8.wav,0.154803508,0.151289225,1324.148448,1481.45571,2212.869952,0.052795221,-213.6312001,126.9207392,-46.44879935,-1.520201695,-10.52329636,-1.019500565,-8.083545945,-9.059320232,-13.56307853,-9.637102739,-1.470767826,1.798443699,-0.582659892,-0.50049816,-8.977345176,-8.072070629,-6.6967102,-4.462791669,-8.570112602,0.238627288,Flute
Dr. N. Ramani - Chandrasekara.wav9.wav,0.172087344,0.190150276,1193.686131,1344.905147,1950.913203,0.05382167,-209.0731359,135.5180604,-40.41115943,-8.529093026,-12.97864118,-10.03829609,-15.72491298,-15.32412442,-18.10177369,-14.07492022,-5.875193174,-0.196653455,3.470572044,5.942160243,3.852279064,5.342889471,2.347014207,-1.454804479,-7.898187755,-4.686815235,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav2.wav,0.161922525,0.218177393,1460.542723,1368.913893,2230.386513,0.086335835,-192.9179675,114.7965126,-58.28730221,-12.00697305,-25.36701977,-6.841496497,9.950365912,10.14142332,4.090521227,12.34076035,4.461361946,-2.991366986,-9.076515733,-8.041078183,-4.248885476,4.213664988,2.28741901,4.501546512,-0.117799764,-6.055740077,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav3.wav,0.16715706,0.206904486,1391.767452,1375.107824,2173.470191,0.075617835,-208.4816507,119.981071,-49.79573154,-8.757432388,-19.64714973,-9.704764615,0.547792748,2.627448709,3.167598131,11.75566431,7.902360293,5.013496246,-2.760610524,-5.161352696,-6.93774796,-0.619404743,-0.74219092,-0.417478799,-1.189734707,-2.355094796,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav4.wav,0.18581313,0.21951516,1408.560295,1381.616191,2161.745262,0.080245924,-193.2830003,119.4265231,-54.26452553,-14.56359902,-22.22071018,-12.07807328,-1.980549967,5.634346418,5.560823603,13.68605755,9.168498352,1.788830367,-6.157616093,-7.662901228,-9.895835824,-2.500196826,-2.149107166,3.279791606,0.786441818,-7.381384972,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav5.wav,0.170610751,0.193537027,1439.824267,1399.393669,2214.519942,0.082990806,-198.3964876,119.7978582,-54.12379014,-12.66395712,-20.50005019,-7.560010098,-0.630919712,4.618726302,4.331983404,11.82248251,6.881787769,-0.886788425,-7.111469405,-4.411028909,-6.515310865,-0.095790139,1.958030998,3.54597063,-1.75607284,-4.450551443,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav6.wav,0.16241356,0.181419045,1357.398627,1356.005656,2140.687056,0.071936451,-216.4579233,122.9123928,-46.9287846,-5.601667907,-20.6574759,-15.96917926,-7.603920824,1.217923099,6.903113875,11.9784944,10.17437548,3.831797495,-5.090173777,-7.844182191,-10.89954092,-3.381839956,3.798731082,4.42021696,-0.811277804,-3.581816025,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav7.wav,0.173128668,0.181200787,1625.947591,1469.655028,2551.359572,0.093598829,-190.3992119,106.1233254,-66.03249544,-12.00386008,-19.40246242,-2.169298922,5.936046243,4.78929155,-4.524849549,11.14531443,6.698785376,-0.298210245,-7.163115078,-5.087730865,-3.608077449,3.595210698,-2.964788692,1.654938099,-1.240125005,-6.627031979,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav8.wav,0.174966415,0.223107874,1583.76695,1444.435882,2495.609909,0.092415163,-163.8769709,110.8834934,-64.70326194,-9.249345425,-21.77948736,3.129391231,11.77249982,6.416532133,-4.924269696,10.82415941,7.917691367,3.00641404,-7.106017823,-7.93346814,-4.916448565,6.691454906,-2.314973863,2.083599669,-2.694409358,-7.606311973,Flute
Dr. N. Ramani - Kanchadalaaya Daakshi.wav9.wav,0.169218043,0.131352484,1391.524651,1409.205862,2314.504903,0.07298895,-249.5816108,97.94184282,-36.34926993,-5.178476209,-13.95538584,-4.475462676,-2.448212951,-0.488884089,-3.693257612,3.651992398,5.963971831,6.542121898,0.261619596,-2.539923619,-8.789425206,-3.050955552,-1.598704694,-1.845591389,-4.844483805,-2.12948374,Flute
Dr. N. Ramani - Kannathandri Naapai.wav1.wav,0.161491499,0.183040872,1305.293619,1153.857965,1814.714027,0.081691494,-267.2314919,110.3880451,-56.58883297,-36.24710849,-36.09208755,-20.76824878,-5.609805896,-3.743708333,-3.247823876,-9.34302422,-0.515671651,5.596200636,0.978748556,-4.502012445,-13.09214805,-10.68972961,-5.306273024,-8.540230482,-6.171784238,6.828202779,Flute
Dr. N. Ramani - Kannathandri Naapai.wav10.wav,0.190899588,0.220303133,1584.702929,1436.320093,2522.726412,0.09640758,-158.4721973,118.2397561,-62.05286036,-9.787480496,-21.89963515,-3.00650639,3.005171528,7.698464333,-1.254810661,1.174582551,0.553082866,1.231254647,-3.794811398,-4.056774915,-11.35461221,-3.436918469,-3.677409842,-5.455771806,-7.066821256,3.204845369,Flute
Dr. N. Ramani - Kannathandri Naapai.wav11.wav,0.178345678,0.144364178,1296.798362,1278.3993,2045.624417,0.073931924,-236.6883089,109.0268255,-42.44212636,-11.76890088,-16.08806412,-5.969650337,-4.325596161,-0.808665627,-2.545232518,-2.031432507,0.650613939,3.078404818,0.083993264,-0.975094478,-9.501604178,-6.859192485,-0.900297303,-4.308990874,-8.890449017,-2.075438725,Flute
Dr. N. Ramani - Kannathandri Naapai.wav2.wav,0.154894259,0.214445323,1340.431461,1265.871176,1991.262959,0.079139733,-222.9211313,123.5674203,-52.47870919,-13.96403587,-21.75503487,-13.98008263,-2.705418729,8.259133933,11.12930736,9.588936419,4.13813554,-1.97467744,-7.969768202,-5.697308881,-8.57207348,-2.60032628,0.161778937,-2.520060455,-6.826258876,0.885819429,Flute
Dr. N. Ramani - Kannathandri Naapai.wav3.wav,0.161092922,0.239515021,1566.532215,1414.795543,2383.427254,0.092630203,-170.0143934,111.0700816,-67.94097842,-13.50372374,-17.73359982,-4.48118472,3.989405671,6.51936466,-2.119220862,9.238742409,6.070175659,3.465683625,-3.28520787,-4.322017957,-9.027290662,-1.307760352,-7.130635668,-3.045821361,-4.557162942,3.083667417,Flute
Dr. N. Ramani - Kannathandri Naapai.wav4.wav,0.165474433,0.217649713,1742.434877,1543.423596,2643.942346,0.102941176,-176.3315117,102.3234542,-62.25764503,-9.177573616,-7.527834889,5.151727538,2.272022268,-1.343223641,-11.20757835,-2.52863063,2.950575816,8.298703403,0.814465801,-2.530261665,-9.697217252,-3.423858007,-4.908604162,-7.684675989,-11.88377131,3.651517951,Flute
Dr. N. Ramani - Kannathandri Naapai.wav5.wav,0.161582782,0.269480139,1488.611531,1358.103455,2190.72842,0.090998316,-172.1090222,116.3714284,-62.45438983,-14.608769,-18.57339046,-0.494372709,8.616068167,11.78556671,-2.048638825,-2.979269922,0.606418296,6.76205,4.974816572,-1.596666007,-11.85330796,-5.068857979,-6.073162384,-5.531467563,-5.184277462,2.660635597,Flute
Dr. N. Ramani - Kannathandri Naapai.wav6.wav,0.16580317,0.242245108,1343.94382,1268.682807,1993.546279,0.079101563,-196.2138535,125.1785857,-58.20359245,-17.59052631,-28.39937998,-16.27588149,-2.738637725,6.459055527,6.077183725,10.01625079,6.171264318,-0.192742879,-4.616167908,-5.489646266,-9.269448929,-3.905983683,-5.958518746,-4.775017438,-4.37797717,4.488684653,Flute
Dr. N. Ramani - Kannathandri Naapai.wav7.wav,0.166212656,0.252409011,1775.083886,1530.824697,2665.550548,0.112444898,-158.705608,98.79295609,-67.22185307,-13.95521372,-11.90810935,6.790910943,7.054355281,2.616826463,-12.17372941,-3.301247145,2.010312504,5.167720042,-2.324222651,-3.877321407,-11.08500014,-2.711933767,-4.432353363,-3.487654353,-10.42274836,2.284968452,Flute
Dr. N. Ramani - Kannathandri Naapai.wav8.wav,0.15915997,0.265013993,1558.588569,1394.305654,2350.027456,0.095186121,-163.3329933,110.7909597,-69.40107714,-13.88133317,-18.20299683,2.764202831,11.03681387,9.506225819,-7.424743541,-5.530968022,-2.314168394,4.733887221,4.630683846,-0.234346963,-10.63896693,-4.390080332,-8.345239752,-4.052649526,-4.839418659,1.768764739,Flute
Dr. N. Ramani - Kannathandri Naapai.wav9.wav,0.196487076,0.212422282,1569.984956,1429.343919,2476.076694,0.095983547,-161.0891024,117.5552404,-63.76644833,-11.78820531,-21.24354562,-3.959096655,-0.362704442,3.601326135,-2.096138212,6.004366029,4.944612194,-0.005896858,-4.877051034,-3.28887807,-10.59315478,-3.723977973,-5.787409177,-5.586797822,-3.813924767,4.431034675,Flute
Dr. N. Ramani - Maamavthu Shree.wav1.wav,0.165825503,0.115711793,1153.416945,1147.951286,1818.239005,0.062815947,-325.4607979,120.03064,-39.8939055,-20.54445099,-13.92684077,-22.12951211,-20.26154736,-18.24314053,-12.06655893,-5.122991779,7.45741091,15.15062047,13.02594867,10.18063886,-1.993126667,-11.83244842,-1.568083235,0.188222728,-4.199954149,-3.056182229,Flute
Dr. N. Ramani - Maamavthu Shree.wav10.wav,0.181592278,0.119129218,956.0795686,1049.372774,1535.432382,0.04748384,-292.7454282,144.0008681,-33.6828605,-13.92183313,-14.03325747,-13.31029925,-12.47245896,-22.37696046,-23.67165931,-23.30078246,-14.5638868,-11.16633329,-8.478624774,2.097163526,6.377053925,13.4208989,25.32095388,18.64629855,9.435349834,7.234228278,Flute
Dr. N. Ramani - Maamavthu Shree.wav11.wav,0.172943483,0.126528069,1184.918666,1147.996904,1742.147799,0.067502237,-283.3215287,125.7252691,-44.8410575,-22.0028952,-21.24711892,-13.11306204,-13.00611334,-13.76487918,-13.87340489,-15.08756017,-7.593972453,-4.344350025,-2.029373035,5.712430395,8.138604,8.368977467,11.67265478,6.65346299,2.961715934,3.172845875,Flute
Dr. N. Ramani - Maamavthu Shree.wav12.wav,0.18583166,0.143571392,1133.581574,1078.209243,1678.823182,0.066756966,-276.388116,131.5297558,-51.13527715,-29.92284127,-31.29327831,-27.80166538,-18.99850419,-11.94783766,-5.058552212,-4.739924422,0.116474979,2.631178573,7.604880235,12.06245311,5.863157861,0.595410764,4.061762189,1.70722921,-1.015345895,0.889111737,Flute
Dr. N. Ramani - Maamavthu Shree.wav13.wav,0.179897935,0.17538552,1332.433908,1175.840232,1886.071929,0.082332835,-243.3255346,118.3627501,-64.9443682,-36.84816849,-37.32233847,-19.04436254,-10.41192614,-7.235333327,-4.933019125,-2.872720187,2.84645533,2.860020584,5.013331744,9.079142244,0.265675052,-4.403495929,0.23620697,-0.409089677,1.391452881,5.713255004,Flute
Dr. N. Ramani - Maamavthu Shree.wav14.wav,0.164075677,0.111768588,1242.494139,1213.730835,1951.263201,0.068027555,-281.9633963,122.4754801,-45.61291661,-17.7825904,-19.76267927,-18.51752227,-17.98753307,-18.51923755,-11.42489363,-6.122249576,2.583661758,3.63253668,4.076038853,6.660165573,-0.895056293,-8.370683093,-1.712498651,0.639061408,-1.184706881,0.484467419,Flute
Dr. N. Ramani - Maamavthu Shree.wav15.wav,0.222373794,0.094235592,1668.993595,1432.214689,2755.933335,0.106862544,-223.5671989,108.7105816,-77.80443659,-7.34108369,-37.83290609,-7.679687211,-16.95279456,-19.30815878,-13.08997186,-13.25357776,-6.04755012,-7.370414883,-11.35269109,-4.904539086,-10.04394897,-5.809407599,2.922193044,2.398934229,-5.345626975,1.565003434,Flute
Dr. N. Ramani - Maamavthu Shree.wav16.wav,0.229387901,0.109835088,1653.498999,1356.629,2683.483773,0.10863313,-206.8535667,110.6197065,-85.2394753,-14.26025627,-41.78790353,-6.750294337,-13.89013651,-22.35267644,-13.75305986,-14.20971473,-8.318283236,-8.377687363,-7.637486022,3.778276186,-5.138351907,-3.055643404,2.985489455,-5.231612435,-6.247375817,3.180755615,Flute
Dr. N. Ramani - Maamavthu Shree.wav17.wav,0.182187807,0.108959079,1819.626795,1533.583425,3161.922547,0.110793737,-234.6866647,89.01979541,-68.58917026,-14.26372168,-44.69002834,-3.74120982,-10.90952261,-18.9800054,-16.31439143,-11.77076659,-3.144089933,-0.990229496,4.892190311,8.095705215,-8.771136239,-14.74000673,-3.066026198,-3.034054034,-4.753899898,1.284805249,Flute
Dr. N. Ramani - Maamavthu Shree.wav18.wav,0.21626446,0.097961687,1735.03265,1417.342938,2863.532685,0.112287303,-218.4484639,103.5863501,-83.50569379,-13.68636868,-43.97359044,-1.620697346,-11.64088858,-20.161253,-15.33453331,-13.34264911,-4.281119432,-6.441694103,-4.391267913,4.796891284,-4.984391369,-6.693493823,2.86752959,-2.137123469,-3.27910681,3.875994003,Flute
Dr. N. Ramani - Maamavthu Shree.wav19.wav,0.198247514,0.132024601,1444.876286,1329.795483,2168.378555,0.088592057,-250.0006462,112.7632279,-57.5963418,-17.53201371,-27.55767762,-13.27368497,-7.567563256,-12.17684409,-9.676940611,-13.93197409,-7.024167423,-1.71296985,-3.726565521,-7.377437648,-10.8488937,-8.411973797,-4.703218961,0.054538883,-6.19992038,-5.059695107,Flute
Dr. N. Ramani - Maamavthu Shree.wav2.wav,0.16027379,0.125313923,1128.058656,1087.047467,1767.764311,0.059485657,-292.053032,128.6480122,-47.67253882,-22.51923722,-21.89249803,-28.89341411,-24.91369253,-23.51533852,-8.615900469,2.377369079,12.54072956,13.10446373,8.024340169,9.06924602,-0.374514873,-6.788050426,-1.157832353,-3.725139692,-4.543091093,1.170701948,Flute
Dr. N. Ramani - Maamavthu Shree.wav20.wav,0.155762376,0.214459866,1519.069089,1347.513953,2147.620347,0.094297994,-195.6251224,113.8645011,-65.2673516,-20.09363171,-21.90102072,-0.389425067,10.12799791,9.425776629,-4.162676984,-2.992913321,-2.705179314,2.411185394,5.595894873,0.497172274,-9.215384658,-5.013741516,-7.958750091,-2.402782507,-0.947751516,0.190074287,Flute
Dr. N. Ramani - Maamavthu Shree.wav21.wav,0.160854734,0.208223701,1559.726899,1361.198137,2211.794959,0.099534923,-186.1246351,115.3333068,-69.83891671,-16.83806128,-15.38200428,5.49040708,9.593247301,4.591370804,-8.135664879,-1.348045985,3.197983353,5.769090407,3.413144289,-0.415993754,-8.759339367,-2.859750893,-6.462326911,-1.912662428,-2.153608712,-2.199084128,Flute
