filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Instrument,Pitch,raga
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav1.wav,0.256405463,0.016592175,1990.621867,2188.486377,4110.533477,0.092315012,-338.4754878,89.57123848,-16.30915369,6.054853425,-11.33138669,-7.585411295,-21.6270045,-6.645197312,-3.717135368,5.436016309,-1.875050741,9.645782406,-8.717361319,-0.046787278,-0.648424089,3.997176417,-6.006217772,8.077768111,2.255878401,-0.968258757,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav10.wav,0.196088728,0.064404517,1752.776486,2117.409549,3433.17924,0.068321204,-223.2274936,103.3999805,-17.18727784,3.494246499,-13.31329317,-7.234863989,-20.66307716,-9.417600538,-8.841159183,-0.672941622,-9.064705101,4.614449101,-12.85433256,-3.436591194,-4.909200925,1.353695943,-4.880600987,8.61050253,2.394720271,0.720553008,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav11.wav,0.19899058,0.100677364,1813.191356,2086.255701,3492.270549,0.072464414,-222.396404,93.64232363,-22.23654057,1.177443342,-13.96142162,-8.600048464,-21.27106655,-8.913001279,-8.225832619,-0.165110633,-8.093133521,4.762250556,-11.33891935,-2.869433933,-3.047545552,6.108680212,3.979885308,21.48460958,15.15859488,8.222008308,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav12.wav,0.182516707,0.110413544,1716.694068,2050.717845,3281.655156,0.068185151,-225.725668,96.38526026,-17.5705225,3.470629893,-14.38231066,-10.11577028,-20.95324275,-9.494039364,-10.17752272,-3.378354403,-9.216917555,5.332158036,-9.078739285,3.041627067,4.35987843,8.806591712,2.266427768,16.14510246,10.50350586,5.356285491,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav13.wav,0.185095328,0.090924107,1698.19286,2024.625667,3192.747361,0.065648129,-227.5693825,98.8674094,-22.83561176,-3.078623626,-17.14349835,-9.411416146,-22.79735768,-11.94138309,-12.41612036,-3.373724249,-11.20882654,3.292852623,-12.82503888,-3.077509326,-4.220259466,4.106317908,1.837206307,19.91597796,16.9801537,11.05204272,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav14.wav,0.20611691,0.081116445,1815.57884,2153.871485,3620.61144,0.074149211,-222.3170695,101.1394511,-15.12618769,6.401563368,-11.4123741,-6.79166566,-18.15600552,-8.746709122,-6.613837493,2.537489806,-5.914398439,7.724357024,-9.392588617,1.043354209,0.048193409,3.96682907,-5.288958412,6.087635205,-0.382604181,-1.32187347,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav15.wav,0.170880994,0.132916182,1664.861995,2056.01661,3158.930898,0.061120568,-220.5841461,94.11002294,-18.560276,1.229156612,-15.28367045,-11.24843636,-24.08934202,-14.08182221,-10.17033228,-0.894156247,-8.991513068,4.692209967,-5.767595225,7.43687697,8.07226388,8.845859231,-3.188546901,6.87611656,2.245431469,4.100353196,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav16.wav,0.185490304,0.130747125,1620.305427,2019.080879,2980.515311,0.062008317,-232.2780905,97.90779154,-17.33120663,-1.78532221,-14.76874489,-12.38957782,-25.81749428,-14.78553081,-10.78076119,-1.436439119,-3.257714295,10.50930962,-4.32819236,9.308161658,9.040310032,8.550210987,-6.493131527,2.586289812,1.757822019,1.282620108,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav17.wav,0.179888342,0.136538118,1755.395388,2118.991545,3444.654171,0.067324234,-229.9185713,89.43206047,-14.85700624,2.681686776,-14.4486184,-11.92630677,-25.49345591,-12.39362188,-9.657340862,1.06474387,-0.690598785,13.79706481,0.598053919,11.23613425,4.788381212,1.751878042,-10.30309245,-0.825369856,-1.830331159,-1.973362609,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav18.wav,0.192328618,0.115766764,1823.855773,2151.950402,3608.994844,0.073859342,-228.2326513,88.50359419,-14.19188307,0.761531603,-19.14534533,-13.24909623,-29.04092912,-14.38246102,-8.851599102,1.600825658,-1.631427963,12.09784715,-0.566972312,6.622205059,0.180794974,-0.1882422,-8.450724419,1.741907855,-0.439152225,-4.758956723,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav19.wav,0.17813816,0.108710349,1882.684159,2186.623135,3746.710677,0.07157213,-231.3226907,87.3531831,-17.64036553,-2.524582656,-19.36142428,-14.36721379,-27.22919545,-14.34721146,-9.028173143,4.403466891,0.767293457,14.12080114,-0.778101215,5.789759878,-1.262615561,-0.347303137,-9.398755229,3.087775717,1.483964295,-2.533537885,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav2.wav,0.23044116,0.039305311,1964.943703,2264.526159,4078.925335,0.077251234,-257.3298416,97.19811834,-17.72377839,2.583450199,-14.64634586,-7.139837273,-21.73687373,-6.920988267,-6.776566504,3.355592197,-6.923656461,6.884802198,-12.82918621,-1.83687537,-4.624438091,1.704526267,-7.541306902,7.433926735,2.117525031,0.972514537,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav20.wav,0.186790382,0.106609501,1651.229776,2059.967296,3135.756039,0.060546875,-240.5810054,99.92851367,-16.4825614,-1.411413825,-14.25521691,-12.25707141,-22.76502291,-12.60887428,-10.24846428,-0.189218846,-6.322610748,6.573688581,-6.09743898,4.311578063,3.233774436,7.606497547,-2.610398447,9.392665931,6.73353086,2.637205394,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav21.wav,0.183824008,0.068975434,1783.57756,2132.782465,3449.487475,0.06440475,-236.3302835,98.74867022,-17.66601624,0.478271437,-14.60914712,-6.510041427,-19.73690547,-8.827999619,-10.64419159,-0.910066311,-10.90937393,5.083391234,-13.5104405,-3.490610244,-4.741582508,5.735144411,-1.369139884,15.18505856,13.86110897,9.174129504,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav22.wav,0.196485676,0.064659864,1770.994741,2135.573706,3504.145478,0.067327635,-230.1066665,104.1181476,-16.26093578,1.448952314,-14.32330404,-7.570598074,-18.91732815,-8.976309569,-7.34611268,0.214089829,-6.2837169,7.012656029,-10.03512458,-1.2971864,-1.89630437,3.99704499,-5.089894244,4.357297653,2.735523326,2.399908909,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav23.wav,0.200952244,0.109119713,1880.807919,2186.215737,3783.018791,0.077701344,-181.6270099,98.6108938,-16.72450116,2.288256072,-13.81509772,-5.984688309,-20.14220792,-7.223127075,-8.8881549,-0.022458365,-6.081188635,5.7679325,-11.35189718,-4.752084124,-8.426785588,-2.008556601,-8.238663766,0.633877196,-4.537097585,-1.979550564,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav24.wav,0.199696221,0.088898778,1919.948452,2224.821026,3957.209405,0.077052066,-176.3557711,95.96910261,-16.3185613,1.991560896,-17.84096039,-6.705806575,-21.19836004,-8.202173217,-11.1596437,-2.190008992,-9.134754109,4.755335952,-11.37667103,-4.119923953,-8.297391366,0.776644332,-7.602425979,2.078351526,-2.594629154,-0.974727534,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav25.wav,0.21975767,0.105445787,2104.006854,2287.064574,4284.624091,0.092922341,-159.3070246,87.92956097,-18.81477219,2.667846466,-17.05864521,-5.662374662,-20.12727048,-7.360653463,-9.517742536,2.207312699,-10.48848516,3.49778778,-10.33051278,-3.237890835,-7.664649191,-0.089127222,-8.771576166,3.337100247,-0.252861209,-0.622348832,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav26.wav,0.197821375,0.117009036,1998.874313,2264.112397,4146.708259,0.075826072,-166.9069857,87.95649219,-18.62308292,1.542971745,-16.77786392,-6.911220955,-19.31190054,-7.037771952,-10.79685759,-0.975424282,-13.35335775,1.678336953,-10.01929654,-3.653809602,-6.441989944,1.543139722,-3.112019102,12.50070292,11.78408812,6.899586057,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav27.wav,0.222406685,0.109314688,2157.708247,2311.066961,4450.481422,0.090629082,-163.5229784,81.51885503,-18.11584583,5.316664321,-18.44952813,-6.555233396,-20.77064363,-7.480761574,-9.680353363,-2.023594975,-13.05690887,0.494044532,-9.386825736,-2.528746451,-5.087077018,2.355888535,-3.785324554,12.84574857,13.31366994,11.94015345,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav28.wav,0.194289573,0.146291986,1899.307883,2156.189208,3794.443722,0.076184347,-165.8784564,90.83503963,-21.19658558,0.855793553,-18.24407612,-7.631658484,-20.21620671,-8.443856287,-9.827373185,-1.682017171,-10.41716428,3.093184879,-9.453833418,-2.747407797,-4.891860525,2.942050109,0.323811376,14.86331001,12.98706992,5.891933602,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav29.wav,0.186876919,0.190377161,1835.520921,2161.99429,3738.735726,0.065423641,-148.3337331,90.77830722,-18.64973583,3.372556001,-18.78254216,-9.268931248,-22.38796939,-11.38269088,-13.25184164,-1.609155913,-9.476025986,4.146167725,-7.244575195,1.098053099,-0.469690782,6.080753695,-2.262555124,9.27154998,6.434044762,5.284282958,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav3.wav,0.22922331,0.037134089,2000.866814,2294.370074,4165.933143,0.080867992,-252.9080653,98.14658599,-15.45276791,1.902116827,-13.17108749,-8.673570178,-19.5880118,-5.330305034,-6.551988546,2.431989682,-4.49720673,9.629071766,-11.29280032,0.776301775,-1.283810803,2.384433215,-6.555774394,6.715939702,4.301286787,0.899795891,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav30.wav,0.20456703,0.15673013,2022.080769,2255.714752,4148.624914,0.081118557,-165.1759508,84.70444451,-18.2610722,5.455144271,-15.58044679,-8.281444804,-21.52493771,-10.34346074,-10.63046965,2.204337712,-5.800276128,5.7243375,-3.854057232,4.217010239,1.41374357,5.198013624,-4.545524035,5.636297711,0.879030055,-0.193301054,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav31.wav,0.170392744,0.220935121,1775.374572,2123.043773,3571.078406,0.060579377,-167.0200133,84.41240136,-20.13803514,2.353768441,-19.28479602,-12.83420755,-27.14963794,-15.03689443,-15.52304457,-0.983277386,-6.737489035,7.522651166,-2.600935156,7.12924053,4.80128387,6.869411396,-4.766696336,7.28830348,4.173518332,2.224469046,Bansuri,A#,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav32.wav,0.178997354,0.206775799,1827.495206,2129.00731,3631.128043,0.072193441,-175.6021211,81.90302948,-18.71826308,4.910412552,-20.87373238,-15.00530955,-27.00649471,-15.52357834,-14.51058047,2.437832196,-1.769550374,12.5586119,1.591160093,8.582415595,1.937623258,1.577263834,-8.363067688,2.983066939,-2.715473186,-2.644330453,Bansuri,A,bahudari
Hariprasad Chaurasia - Ahir Lalit - Alap Jor Jhala.wav33.wav,0.194332374,0.158089802,1918.806758,2183.881676,3770.277202,0.079594379,-192.9640507,84.32033167,-19.65401913,-0.508160097,-17.83127187,-12.92137588,-25.27779894,-13.133827,-10.45193107,3.723681911,-2.000729857,11.06022528,-0.266960281,7.458955156,-1.27666756,0.324834465,-7.990565235,3.937456657,-2.597642554,-3.541101096,Bansuri,A,bahudari
