filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Class
Ganesh ,0.291709274,0.186054319,2841.932362,2315.693521,5296.867971,0.16497935,-57.41044617,52.04030228,-41.93088913,17.78153038,-14.49437809,10.44086838,-2.601269722,-0.421517432,-12.65618229,-3.554170132,-13.29699898,4.061357498,-8.061378479,1.963481665,3.178926706,2.518574238,3.722020149,5.588153839,-13.34803677,-3.599718571,A#
Ganesh ,0.269170284,0.192333162,2814.443445,2302.239796,5234.801679,0.15603307,-52.29661942,51.43410873,-43.2937851,18.3146801,-11.05003452,8.731431007,-1.440399289,1.57950449,-11.58124256,-0.091266833,-8.722556114,6.640213966,-7.776284218,0.829072475,0.998825014,1.138940334,0.400983602,5.497584343,-13.05029106,-9.706391335,A#
Ganesh ,0.287642509,0.195021927,2866.904194,2317.834666,5351.800972,0.159934407,-33.92902756,50.94873047,-46.19238281,14.45798492,-17.30913162,7.737790585,-3.419541359,2.294586897,-10.88813114,0.777574003,-8.772346497,3.092440605,-10.09898281,0.393617719,0.873523057,1.651434779,0.835187972,5.197006226,-12.51049614,-8.905772209,A#
Ganesh ,0.293507487,0.185929507,2809.292058,2307.686213,5237.184998,0.157657777,-41.93719864,53.69510269,-43.5632019,19.41808128,-14.13514614,9.780807495,-1.6127913,1.814617872,-11.94636631,-1.219461203,-11.33925438,5.87997818,-7.403945923,0.65650779,2.090950727,3.403855562,0.001764729,2.722926378,-12.60476017,-6.790055752,A#
Ganesh ,0.266982228,0.192181483,2869.448643,2272.236806,5246.393276,0.169645233,-42.16008377,49.97941208,-46.51072693,19.65787315,-12.59562969,9.598939896,-3.24974227,0.637541771,-12.61937523,-1.321852207,-8.878670692,7.872871399,-8.482028961,-1.947984219,-0.574040651,0.753322423,-1.559518814,2.618042707,-13.47631454,-6.311928272,A#
Ganesh ,0.271054447,0.190708339,2922.347902,2274.013873,5313.859534,0.176456227,-48.91601563,46.00855637,-45.74388123,21.1490612,-13.20443439,7.239110947,-3.148456335,-0.329925448,-13.31681252,-1.335506916,-9.736607552,8.191799164,-8.688089371,-1.8476336,-1.031027436,0.554130018,0.218464851,6.253570557,-13.04316044,-8.718175888,A#
Ganesh ,0.283722788,0.196495265,3009.972611,2298.950505,5481.158523,0.184043861,-29.59038734,43.47442627,-48.93286896,15.94883442,-16.10087395,9.831912994,-3.477349997,2.305432558,-8.999167442,2.628960371,-7.258317947,6.238991737,-7.743197441,-0.006705954,0.887871444,1.009876132,0.45467785,5.926600456,-13.657547,-10.35048485,A#
Ganesh ,0.284634918,0.197734088,2828.454287,2298.999893,5287.984691,0.160983531,-31.33881569,53.4297905,-45.8288269,17.30573273,-16.65773964,8.504797935,-5.613223553,-0.315756917,-13.26890278,-3.083199501,-13.80776978,3.868459702,-8.985681534,-0.968796313,1.737369657,2.804177761,1.295102954,4.617517948,-11.45526695,-6.264248848,A#
Ganesh ,0.247682109,0.113136902,2137.655024,1836.622305,4044.921146,0.125827163,-198.6235962,46.59416199,-30.07901573,18.2054348,-7.26894331,6.601210117,1.197518587,0.698987722,-8.359255791,3.225213289,-7.818843842,4.037863731,-5.93929863,-4.323871613,-0.350930929,-0.703758597,-1.512762666,0.361084074,-8.454749107,-2.291733503,A#
Kadri Gopalnath - Bhagyada Lakshmi Baramm1.wav ,0.24359186,0.107723035,1590.118475,1696.255055,3048.239901,0.064195757,-168.302536,121.1679077,-41.42768478,26.28980637,-7.697618008,2.691521168,-5.269556999,1.154747844,-9.409412384,-0.935709774,-15.97787952,-7.911934853,-11.81601143,-3.684997082,-5.439187527,-3.90454483,-8.539685249,-4.607983112,-11.53719425,3.267867327,A#
