filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,Class
Aneesh Vidyashankar - Brova Bharama.mp3-1,0.095365539,0.249787806,2213.110996,1402.600569,3714.444206,0.174808467,-275.3190145,53.12339041,-105.8178091,26.1731256,-37.43012657,-34.53144792,-12.57717078,-33.36523216,-24.48829672,-22.87492119,-17.61212901,-2.870194649,-8.476243782,0.919092197,-2.361209065,-2.254339664,12.31671907,6.651554068,-6.094669084,2.061544198,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-2,0.130369872,0.21277435,2227.427526,1478.68001,3808.610303,0.155278728,-224.7322131,40.33593582,-117.8969374,20.44766819,-56.91990966,-29.94550724,-23.57745502,-31.62961779,-35.77293932,-29.20189659,-24.31729487,4.293977311,2.746918307,8.745095935,7.53955982,7.575673872,16.08817277,17.93335062,-2.713970953,-7.126619788,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-3,0.141609192,0.189689154,2356.620091,1520.811547,3823.943544,0.169695119,-221.3853398,31.34497099,-105.3587197,20.6096737,-54.32356732,-26.62606627,-21.35194809,-28.26927213,-34.87360122,-22.26211279,-10.84710217,7.435343005,0.294538883,-0.691846394,-9.517935876,-4.718627839,6.918406166,12.20149434,-4.353909097,0.408613766,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-4,0.141876087,0.20672631,2406.50912,1516.856936,3848.360063,0.17698608,-210.4076123,32.56759293,-110.278778,16.02563445,-58.3195354,-29.02966314,-23.38351881,-28.86562982,-35.27483015,-19.1102869,-7.924531715,12.57169732,9.561642716,2.759151735,-9.295106262,-4.353757389,7.6724005,12.85590144,-8.450197437,-6.413279094,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-6,0.144986644,0.229940932,2127.833921,1488.146699,3740.694047,0.145982488,-165.384382,67.98472579,-116.117524,26.05585026,-58.40478708,-28.16682428,-25.15545305,-34.55304057,-36.47583554,-33.23784847,-26.45018899,-3.973174233,-5.39300791,-3.563997226,-4.879694128,2.015462655,3.670280415,7.066716275,-7.977356286,-6.050629478,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-7,0.145494461,0.232863118,2138.812034,1494.503634,3732.427431,0.145841144,-179.6724246,59.05012835,-115.2996167,21.68252745,-58.87261722,-27.85342052,-26.68655674,-29.82126964,-33.23736797,-30.50137955,-26.87411129,-3.865371883,-4.658401803,-3.473975977,-0.711345408,9.636426395,13.15019024,14.41157945,-5.282823557,-9.057347273,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-8,0.144128874,0.226648445,1888.490681,1410.120199,3535.178623,0.121347717,-194.9508709,78.97987052,-114.7309038,33.19427691,-51.38710067,-26.8979912,-16.91056639,-34.64671115,-25.84450385,-33.37429022,-26.84763114,-9.111549356,-14.62987548,-10.20184747,-11.33483388,-0.484981755,6.245815602,6.923195362,-6.682678307,-9.012341182,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-9,0.163211554,0.23629292,2145.903918,1686.110782,3818.443577,0.145295418,-124.5506823,79.11521399,-76.80797982,31.92472705,-25.26880676,3.327662052,-9.322420666,-11.20537904,-19.72712956,-4.093437008,-0.931697739,15.78675232,-2.152443371,-0.285094569,-11.88602182,-4.822487262,-6.769405407,0.868584808,-13.20199059,-5.885619772,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-10,0.176242486,0.266479521,2167.528291,1646.468551,3793.293729,0.144145765,-93.05424011,89.15398786,-85.90542369,28.79563723,-29.34248037,-3.990850071,-2.587722139,-0.799544551,-4.602589439,0.569885117,-4.888324419,11.42050622,-3.879779535,-1.237655075,-11.16296412,-2.709170197,-8.940974639,-1.25370577,-17.41351679,-11.55960385,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-11,0.176218197,0.296217643,2195.550297,1711.356329,3927.226253,0.146558449,-84.16055561,87.03099404,-79.59714883,28.46483005,-28.62562672,-1.023093433,-6.806319696,-5.284120523,-8.293113999,-0.908884477,-6.843697817,10.17666519,-3.649659918,-0.455573273,-6.729771969,1.595302237,-2.501449534,2.752799967,-15.3530839,-14.90848865,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-12,0.178522572,0.263533162,1889.566209,1556.508034,3479.52896,0.114799759,-118.7329232,103.9848246,-84.30995421,33.71693126,-23.15575551,-4.856839844,-6.127038098,-13.51277131,-14.01390615,-7.98329058,-15.95559642,-0.120817124,-15.41678015,1.093872419,-5.064058678,4.758007473,0.329291167,1.932470518,-16.40665887,-15.46750832,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-13,0.179808691,0.308658025,2003.281383,1696.692851,3714.194207,0.124220715,-86.27810286,100.371595,-74.03173426,30.30196231,-23.11361685,-0.383094808,-6.098047533,-8.350791609,-12.004395,-3.789808783,-10.60040692,6.245663209,-11.75098127,2.648424492,-6.495256177,4.257767443,-3.425251811,-1.213049174,-18.99716011,-14.55075696,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-14,0.187479779,0.298293463,2015.329427,1744.315406,3745.960682,0.127875266,-86.79496813,99.84775552,-62.07402255,32.79054135,-18.34382577,4.236179695,-1.699902893,-6.219074645,-11.1888509,-0.328433875,-2.594240909,9.515772975,-8.747119112,0.002896246,-12.16138423,-4.762551656,-8.517652737,-3.115241667,-19.395274,-17.02078229,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-15,0.185780972,0.29888339,2167.122316,1738.924908,3996.242502,0.142556961,-77.8582311,91.2499154,-71.81712865,34.14814853,-27.19539815,5.7093626,-4.587616927,-8.687290351,-10.94516492,-2.305989601,-9.764960771,9.486244966,-4.438174034,4.147112347,-5.232829368,2.277811695,-2.55608675,4.031213398,-14.9619024,-18.55986151,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-16,0.117853135,0.341078324,1838.431518,1791.582658,3446.279161,0.098390939,-191.9599031,93.57283907,-43.33371102,29.28900386,-7.171803943,-0.201134862,-4.998271134,-4.963236155,-10.88266369,-0.963489936,8.058450293,6.168407891,-6.453529608,6.438959336,-10.09892912,-2.892802209,1.230749904,-5.301621954,-15.43755626,-2.466848551,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-17,0.121114157,0.377546816,1853.729149,1817.775522,3500.178835,0.078808291,-154.9028297,98.03066426,-49.7018979,24.8916494,-9.22722681,3.373144053,-3.586220949,2.626173001,-3.095606847,4.420785851,6.850099404,8.012198977,-5.293131119,5.633563134,-9.952405086,-0.374580598,-0.429729925,-2.970063271,-14.64502206,-4.075385048,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-18,0.094955683,0.368956279,1873.860737,1827.85755,3546.928552,0.086020644,-164.0870527,99.54804766,-53.70054512,20.36882074,-14.6838102,-1.399256149,-5.781066994,0.295662717,-3.825152752,3.963927111,6.307041336,6.781458834,-4.742507896,6.284636568,-8.986169656,0.52453291,-1.105265895,-5.24212127,-18.65107646,-8.447046776,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-19,0.124446571,0.414156503,1810.799824,1821.789811,3456.479099,0.083674475,-142.5729722,106.2496897,-47.4113745,22.93111583,-9.957615553,2.079166992,-5.910260122,-1.254533031,-6.153376721,2.068240894,2.758510488,4.410214496,-6.874378666,4.382113056,-9.122349515,1.792569218,-1.4923452,-3.99380434,-15.20056375,-6.332056264,bahudari
Aneesh Vidyashankar - Brova Bharama.mp3-20,0.161270946,0.477864302,1852.534016,1871.173053,3583.644997,0.084932971,-89.49891415,112.0882861,-44.87967353,30.22059802,-9.099638352,9.7538286,-7.103605088,0.043606638,-11.58557168,-0.739752918,-3.26959254,0.505943924,-13.03155347,1.739853285,-10.33484153,3.258079919,-4.870150679,-1.721598342,-15.3808873,-7.214333317,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-1,0.015742211,0.256599589,1856.206601,2005.987336,3629.878051,0.10167361,-370.7637221,104.4201236,-15.42038079,20.45735978,-11.76024122,-1.117286004,-1.272998855,5.694401562,-8.997892877,-2.612549783,-5.834119317,0.122487492,-6.891700574,-8.412184487,-5.258621633,0.316077698,4.094584389,6.916882494,11.97009057,8.84785174,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-2,0.016287943,0.227332807,1856.889721,1972.273202,3578.978358,0.097449146,-340.9462058,105.8280465,-22.19375091,24.53838542,-17.55065117,-2.705304078,-3.771052759,7.63426606,-13.45045547,-1.001137268,-9.447318814,-2.542588232,-6.413506066,-6.558304343,-4.445714718,4.676954695,3.858466007,10.14523281,14.64690332,11.82555409,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-3,0.029929636,0.228908377,1610.194923,1818.649419,3118.597809,0.077843823,-322.6604342,115.8971988,-24.76529346,26.37155724,-14.26483084,-5.321229454,-1.792497463,4.978606684,-13.96003004,-4.94350654,-10.83136646,-2.635340313,-5.481308305,-9.264162815,-3.346918747,3.019894253,1.409522213,1.695815943,7.93613573,6.339200354,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-4,0.027779151,0.219792149,1528.853483,1781.086903,2941.615546,0.069363148,-326.9037466,122.3129052,-22.8954265,24.60330783,-13.23500691,-6.54205804,-2.490050007,1.748380948,-13.64679919,-6.874720846,-12.13331033,0.547470362,-3.585181306,-8.439873489,-1.460622472,5.991066128,-0.223177178,-1.69027899,4.32125565,3.725508921,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-5,0.018665524,0.279652588,1561.543794,1806.597854,2983.031962,0.078289776,-354.5833043,125.1615549,-18.68902986,22.43876234,-7.016951522,-0.823222448,-2.30543887,3.022637567,-10.97486873,-7.530380151,-9.405104334,0.723789058,-5.508488035,-8.843038512,-1.539702341,2.585407011,-2.219304521,0.887704593,4.263952128,4.110063681,bahudari
